+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+-------------------+
| substance_id | substance_name                                                                                                                                                                                                                              | allergic_patients_count | medications_count |
|         8465 | Paclitaxel                                                                                                                                                                                                                                  |                       0 |                77 |
|        11134 | Tolterodine Tartrate                                                                                                                                                                                                                        |                       0 |                77 |
|         3748 | Bendamustine Hydrochloride                                                                                                                                                                                                                  |                       0 |                76 |
|        12392 | Dexamethasone Phosphate                                                                                                                                                                                                                     |                       0 |                76 |
|         3563 | Ivermectin                                                                                                                                                                                                                                  |                       0 |                76 |
|        10157 | Ketoconazole                                                                                                                                                                                                                                |                       0 |                76 |
|        10337 | Nicotine Resinate                                                                                                                                                                                                                           |                       0 |                76 |
|        10687 | Amitriptyline Hydrochloride                                                                                                                                                                                                                 |                       0 |                75 |
|        10141 | Doxazosin                                                                                                                                                                                                                                   |                       0 |                75 |
|         5756 | Enzalutamide                                                                                                                                                                                                                                |                       0 |                75 |
|         8503 | Estradiol Hemihydrate                                                                                                                                                                                                                       |                       0 |                75 |
|         9027 | Lysine Monohydrate                                                                                                                                                                                                                          |                       0 |                75 |
|        12444 | Montelukast Sodium                                                                                                                                                                                                                          |                       0 |                75 |
|         5916 | Mycophenolate Mofetil                                                                                                                                                                                                                       |                       0 |                75 |
|         4102 | Naproxen Sodium                                                                                                                                                                                                                             |                       0 |                75 |
|         8235 | Rocuronium Bromide                                                                                                                                                                                                                          |                       0 |                75 |
|         5190 | Sodium-L-Lactate                                                                                                                                                                                                                            |                       0 |                75 |
|         9998 | Galantamine                                                                                                                                                                                                                                 |                       0 |                74 |
|        12204 | Histidine Hydrochloride Monohydrate                                                                                                                                                                                                         |                       0 |                74 |
|         1417 | Irinotecan Hydrochloride Trihydrate                                                                                                                                                                                                         |                       0 |                74 |
|         5673 | Menthol                                                                                                                                                                                                                                     |                       0 |                74 |
|         3889 | Adapalene                                                                                                                                                                                                                                   |                       0 |                73 |
|         6587 | Carboplatin                                                                                                                                                                                                                                 |                       0 |                73 |
|         4626 | Clozapine                                                                                                                                                                                                                                   |                       0 |                73 |
|         3819 | Entacapone                                                                                                                                                                                                                                  |                       0 |                73 |
|         8445 | Naloxone Hydrochloride Dihydrate                                                                                                                                                                                                            |                       0 |                73 |
|         1225 | Pemetrexed                                                                                                                                                                                                                                  |                       0 |                73 |
|         2236 | Teicoplanin                                                                                                                                                                                                                                 |                       0 |                73 |
|         3469 | Triamcinolone Acetonide                                                                                                                                                                                                                     |                       0 |                73 |
|         8244 | Zolmitriptan                                                                                                                                                                                                                                |                       0 |                73 |
|         9348 | Macrogol 4000                                                                                                                                                                                                                               |                       0 |                72 |
|        11251 | Nitrofurantoin                                                                                                                                                                                                                              |                       0 |                72 |
|         7007 | Piracetam                                                                                                                                                                                                                                   |                       0 |                72 |
|         4821 | Ceftazidime                                                                                                                                                                                                                                 |                       0 |                71 |
|         1742 | Famotidine                                                                                                                                                                                                                                  |                       0 |                71 |
|        13685 | Fluoxetine Hydrochloride                                                                                                                                                                                                                    |                       0 |                71 |
|        12945 | L-Tyrosine                                                                                                                                                                                                                                  |                       0 |                70 |
|         7450 | Naloxone Hydrochloride                                                                                                                                                                                                                      |                       0 |                70 |
|         5380 | Cinnarizine                                                                                                                                                                                                                                 |                       0 |                69 |
|          138 | Codeine Phosphate                                                                                                                                                                                                                           |                       0 |                69 |
|          392 | Mannitol                                                                                                                                                                                                                                    |                       0 |                69 |
|          678 | Meropenem Anhydrous                                                                                                                                                                                                                         |                       0 |                69 |
|         2378 | Vancomycin Hydrochloride                                                                                                                                                                                                                    |                       0 |                69 |
|         9932 | Chlortalidone                                                                                                                                                                                                                               |                       0 |                68 |
|         5812 | Doxylamine Hydrogen Succinate                                                                                                                                                                                                               |                       0 |                68 |
|          150 | Epinephrine Bitartrate                                                                                                                                                                                                                      |                       0 |                68 |
|         5342 | Epirubicin Hydrochloride                                                                                                                                                                                                                    |                       0 |                68 |
|         1803 | Metoprolol Succinate                                                                                                                                                                                                                        |                       0 |                68 |
|         1945 | Biotin                                                                                                                                                                                                                                      |                       0 |                67 |
|        10471 | Capecitabine                                                                                                                                                                                                                                |                       0 |                67 |
|          645 | Cinacalcet                                                                                                                                                                                                                                  |                       0 |                67 |
|         9322 | Fosfomycin Trometamol                                                                                                                                                                                                                       |                       0 |                67 |
|         6983 | Methadone Hydrochloride                                                                                                                                                                                                                     |                       0 |                67 |
|         1804 | Methyl Salicylate                                                                                                                                                                                                                           |                       0 |                67 |
|         2730 | Paliperidone                                                                                                                                                                                                                                |                       0 |                67 |
|        12954 | Sulfamethoxazole                                                                                                                                                                                                                            |                       0 |                67 |
|         1195 | Doxorubicin Hydrochloride                                                                                                                                                                                                                   |                       0 |                66 |
|         4856 | Erythromycin                                                                                                                                                                                                                                |                       0 |                66 |
|         1277 | Human Serum Albumin                                                                                                                                                                                                                         |                       0 |                66 |
|        12756 | Nintedanib                                                                                                                                                                                                                                  |                       0 |                66 |
|         7879 | Tetanus Toxoid                                                                                                                                                                                                                              |                       0 |                66 |
|        11079 | Efavirenz                                                                                                                                                                                                                                   |                       0 |                65 |
|         7664 | Flucloxacillin                                                                                                                                                                                                                              |                       0 |                65 |
|        12070 | Mepivacaine Hydrochloride                                                                                                                                                                                                                   |                       0 |                65 |
|         4852 | Quetiapine Fumarate                                                                                                                                                                                                                         |                       0 |                65 |
|         8340 | Riboflavin                                                                                                                                                                                                                                  |                       0 |                65 |
|         4082 | Atorvastatin Calcium                                                                                                                                                                                                                        |                       0 |                64 |
|         2637 | Domperidone                                                                                                                                                                                                                                 |                       0 |                64 |
|         3368 | Entecavir                                                                                                                                                                                                                                   |                       0 |                64 |
|        11867 | Felodipine                                                                                                                                                                                                                                  |                       0 |                64 |
|        11547 | Hyoscine Butylbromide                                                                                                                                                                                                                       |                       0 |                64 |
|         1003 | Ivabradine                                                                                                                                                                                                                                  |                       0 |                64 |
|         3113 | Ropivacaine Hydrochloride                                                                                                                                                                                                                   |                       0 |                64 |
|        10742 | Sertraline Hydrochloride                                                                                                                                                                                                                    |                       0 |                64 |
|         9099 | Amisulpride                                                                                                                                                                                                                                 |                       0 |                63 |
|         3798 | Everolimus                                                                                                                                                                                                                                  |                       0 |                63 |
|         7837 | Fampridine                                                                                                                                                                                                                                  |                       0 |                63 |
|         9251 | Hydrogen Carbonate                                                                                                                                                                                                                          |                       0 |                63 |
|         1531 | Liquid Paraffin                                                                                                                                                                                                                             |                       0 |                63 |
|         4750 | Magnesium Oxide                                                                                                                                                                                                                             |                       0 |                63 |
|         7261 | Midazolam                                                                                                                                                                                                                                   |                       0 |                63 |
|         2995 | Piroxicam                                                                                                                                                                                                                                   |                       0 |                63 |
|        12441 | Rizatriptan Benzoate                                                                                                                                                                                                                        |                       0 |                63 |
|        13226 | Silodosin                                                                                                                                                                                                                                   |                       0 |                63 |
|         1395 | Anagrelide                                                                                                                                                                                                                                  |                       0 |                62 |
|        13330 | Ethanol 90%                                                                                                                                                                                                                                 |                       0 |                62 |
|         4207 | Fluocinolone Acetonide                                                                                                                                                                                                                      |                       0 |                62 |
|          337 | Glycerol 85%                                                                                                                                                                                                                                |                       0 |                62 |
|         2177 | Insulin Human (Rdna)                                                                                                                                                                                                                        |                       0 |                62 |
|         6910 | Ivabradine Hydrochloride                                                                                                                                                                                                                    |                       0 |                62 |
|          798 | Paliperidone Palmitate                                                                                                                                                                                                                      |                       0 |                62 |
|         1718 | Retinol Palmitate                                                                                                                                                                                                                           |                       0 |                62 |
|         9607 | Tapentadol                                                                                                                                                                                                                                  |                       0 |                62 |
|        11021 | Tigecycline                                                                                                                                                                                                                                 |                       0 |                62 |
|         4126 | Zoledronic Acid                                                                                                                                                                                                                             |                       0 |                62 |
|          854 | Chloride Ion                                                                                                                                                                                                                                |                       0 |                61 |
|         5792 | Ciprofloxacin Hydrochloride Monohydrate                                                                                                                                                                                                     |                       0 |                61 |
|         9562 | Clobetasol Propionate                                                                                                                                                                                                                       |                       0 |                61 |
|         8030 | Leflunomide                                                                                                                                                                                                                                 |                       0 |                61 |
|        13147 | Matricariae Flos                                                                                                                                                                                                                            |                       0 |                61 |
|         5471 | Water (1:20:70:109)                                                                                                                                                                                                                         |                       0 |                61 |
|         4418 | Ampicillin                                                                                                                                                                                                                                  |                       0 |                60 |
|         8108 | Bupropion Hydrochloride                                                                                                                                                                                                                     |                       0 |                60 |
|          848 | Cholecalciferol Concentrate (Powder Form)                                                                                                                                                                                                   |                       0 |                60 |
|        11756 | Metoclopramide Hydrochloride                                                                                                                                                                                                                |                       0 |                60 |
|         5628 | Racecadotril                                                                                                                                                                                                                                |                       0 |                60 |
|         5322 | Thyme                                                                                                                                                                                                                                       |                       0 |                60 |
|        10418 | Vancomycin                                                                                                                                                                                                                                  |                       0 |                60 |
|         1584 | Lactic Acid                                                                                                                                                                                                                                 |                       0 |                59 |
|         1986 | Metamizole Sodium                                                                                                                                                                                                                           |                       0 |                59 |
|         9327 | Vardenafil                                                                                                                                                                                                                                  |                       0 |                59 |
|         9622 | Atorvastatin Calcium Trihydrate                                                                                                                                                                                                             |                       0 |                58 |
|         9749 | Desmopressin                                                                                                                                                                                                                                |                       0 |                58 |
|        11874 | Enoxaparin Sodium                                                                                                                                                                                                                           |                       0 |                58 |
|        10991 | Oxybutynin Hydrochloride                                                                                                                                                                                                                    |                       0 |                58 |
|         1221 | Betulae Folium                                                                                                                                                                                                                              |                       0 |                57 |
|         5464 | Brivaracetam                                                                                                                                                                                                                                |                       0 |                57 |
|         9805 | Bromazepam                                                                                                                                                                                                                                  |                       0 |                57 |
|         3024 | Calcipotriol                                                                                                                                                                                                                                |                       0 |                57 |
|         3110 | Folinic Acid                                                                                                                                                                                                                                |                       0 |                57 |
|        10571 | Hydromorphone Hydrochloride                                                                                                                                                                                                                 |                       0 |                57 |
|        11561 | Moxifloxacin Hydrochloride                                                                                                                                                                                                                  |                       0 |                57 |
|         8387 | Sodium                                                                                                                                                                                                                                      |                       0 |                57 |
|         1678 | Varenicline                                                                                                                                                                                                                                 |                       0 |                57 |
|         4020 | Zonisamide                                                                                                                                                                                                                                  |                       0 |                57 |
|          225 | Clindamycin Phosphate                                                                                                                                                                                                                       |                       0 |                56 |
|        12815 | Histamine Dihydrochloride                                                                                                                                                                                                                   |                       0 |                56 |
|        13214 | Liquorice Root                                                                                                                                                                                                                              |                       0 |                56 |
|          823 | Macitentan                                                                                                                                                                                                                                  |                       0 |                56 |
|         6919 | Repaglinide                                                                                                                                                                                                                                 |                       0 |                56 |
|          764 | Alfacalcidol                                                                                                                                                                                                                                |                       0 |                55 |
|        11283 | Azathioprine                                                                                                                                                                                                                                |                       0 |                55 |
|        11245 | Dabigatran Etexilate Mesilate                                                                                                                                                                                                               |                       0 |                55 |
|        11954 | Dasatinib                                                                                                                                                                                                                                   |                       0 |                55 |
|         6748 | Diclofenac Potassium                                                                                                                                                                                                                        |                       0 |                55 |
|         3754 | Inactivated                                                                                                                                                                                                                                 |                       0 |                55 |
|         7313 | Indometacin                                                                                                                                                                                                                                 |                       0 |                55 |
|         1532 | Inosine Pranobex                                                                                                                                                                                                                            |                       0 |                55 |
|         1203 | Cefixime                                                                                                                                                                                                                                    |                       0 |                54 |
|         8478 | Dexmedetomidine                                                                                                                                                                                                                             |                       0 |                54 |
|         8050 | Ipratropium Bromide Monohydrate                                                                                                                                                                                                             |                       0 |                54 |
|         2776 | Ketotifen Hydrogen Fumarate                                                                                                                                                                                                                 |                       0 |                54 |
|         1187 | Promethazine Hydrochloride                                                                                                                                                                                                                  |                       0 |                54 |
|         4899 | Tacrolimus                                                                                                                                                                                                                                  |                       0 |                54 |
|         1876 | Carmustine                                                                                                                                                                                                                                  |                       0 |                53 |
|         8794 | Lisdexamfetamine Dimesylate                                                                                                                                                                                                                 |                       0 |                53 |
|         7343 | Melissa Leaf                                                                                                                                                                                                                                |                       0 |                53 |
|        10426 | Micafungin                                                                                                                                                                                                                                  |                       0 |                53 |
|         8415 | Omega-3-Acid Triglycerides                                                                                                                                                                                                                  |                       0 |                53 |
|         7484 | Propofol                                                                                                                                                                                                                                    |                       0 |                53 |
