+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+-------------------+
| substance_id | substance_name                                                                                                                                                                                                                              | allergic_patients_count | medications_count |
|          467 | Proline                                                                                                                                                                                                                                     |                       0 |               335 |
|         3364 | Serine                                                                                                                                                                                                                                      |                       0 |               335 |
|         6043 | Timolol Maleate                                                                                                                                                                                                                             |                       0 |               330 |
|        11075 | Drospirenone                                                                                                                                                                                                                                |                       0 |               328 |
|         7156 | Solifenacin Succinate                                                                                                                                                                                                                       |                       0 |               327 |
|         1799 | Arginine                                                                                                                                                                                                                                    |                       0 |               326 |
|        13356 | Pantoprazole                                                                                                                                                                                                                                |                       0 |               324 |
|         5815 | Levonorgestrel                                                                                                                                                                                                                              |                       0 |               320 |
|         4184 | Enalapril Maleate                                                                                                                                                                                                                           |                       0 |               317 |
|         4491 | Sodium Acetate Trihydrate                                                                                                                                                                                                                   |                       0 |               316 |
|         9384 | Cetirizine Dihydrochloride                                                                                                                                                                                                                  |                       0 |               309 |
|         4850 | Dutasteride                                                                                                                                                                                                                                 |                       0 |               307 |
|         8093 | Acetylcysteine                                                                                                                                                                                                                              |                       0 |               302 |
|         2858 | 4 Dichlorobenzyl Alcohol                                                                                                                                                                                                                    |                       0 |               299 |
|          153 | Aciclovir                                                                                                                                                                                                                                   |                       0 |               298 |
|         9685 | Bisoprolol Fumarate                                                                                                                                                                                                                         |                       0 |               295 |
|         4657 | Amylmetacresol                                                                                                                                                                                                                              |                       0 |               294 |
|         2517 | Benzydamine Hydrochloride                                                                                                                                                                                                                   |                       0 |               291 |
|        11003 | Esomeprazole                                                                                                                                                                                                                                |                       0 |               288 |
|         3259 | Sildenafil                                                                                                                                                                                                                                  |                       0 |               288 |
|         1278 | Telmisartan                                                                                                                                                                                                                                 |                       0 |               286 |
|         4692 | Fluconazole                                                                                                                                                                                                                                 |                       0 |               281 |
|         2961 | Budesonide                                                                                                                                                                                                                                  |                       0 |               279 |
|         8645 | Histidine                                                                                                                                                                                                                                   |                       0 |               273 |
|         9342 | Pseudoephedrine Hydrochloride                                                                                                                                                                                                               |                       0 |               273 |
|        11490 | Vildagliptin                                                                                                                                                                                                                                |                       0 |               272 |
|         4638 | Quetiapine                                                                                                                                                                                                                                  |                       0 |               270 |
|        12389 | Tadalafil                                                                                                                                                                                                                                   |                       0 |               266 |
|         1901 | Glycerol                                                                                                                                                                                                                                    |                       0 |               265 |
|        12152 | Pyridoxine Hydrochloride                                                                                                                                                                                                                    |                       0 |               265 |
|           39 | Loperamide Hydrochloride                                                                                                                                                                                                                    |                       0 |               261 |
|        12935 | Timolol                                                                                                                                                                                                                                     |                       0 |               258 |
|        12633 | Apixaban                                                                                                                                                                                                                                    |                       0 |               256 |
|         1906 | Glucose                                                                                                                                                                                                                                     |                       0 |               252 |
|         6416 | Flurbiprofen                                                                                                                                                                                                                                |                       0 |               246 |
|         7554 | Latanoprost                                                                                                                                                                                                                                 |                       0 |               244 |
|         1852 | Pregabalin                                                                                                                                                                                                                                  |                       0 |               244 |
|         8524 | Clotrimazole                                                                                                                                                                                                                                |                       0 |               243 |
|         4198 | Ambroxol Hydrochloride                                                                                                                                                                                                                      |                       0 |               242 |
|          259 | Finasteride                                                                                                                                                                                                                                 |                       0 |               240 |
|         7974 | Perindopril Tert-Butylamine                                                                                                                                                                                                                 |                       0 |               240 |
|         2852 | Clarithromycin                                                                                                                                                                                                                              |                       0 |               239 |
|         8412 | Dimethyl Fumarate                                                                                                                                                                                                                           |                       0 |               238 |
|         3301 | Soya-Bean Oil Refined                                                                                                                                                                                                                       |                       0 |               237 |
|         3549 | Oxycodone Hydrochloride                                                                                                                                                                                                                     |                       0 |               236 |
|         2591 | Irbesartan                                                                                                                                                                                                                                  |                       0 |               235 |
|        10916 | Calcium                                                                                                                                                                                                                                     |                       0 |               234 |
|        11145 | Formoterol Fumarate Dihydrate                                                                                                                                                                                                               |                       0 |               231 |
|         4679 | Dextromethorphan Hydrobromide                                                                                                                                                                                                               |                       0 |               228 |
|          414 | Tyrosine                                                                                                                                                                                                                                    |                       0 |               225 |
|        13483 | Cyanocobalamin                                                                                                                                                                                                                              |                       0 |               223 |
|         5224 | Water For Injection                                                                                                                                                                                                                         |                       0 |               222 |
|        11243 | Hydrocortisone                                                                                                                                                                                                                              |                       0 |               220 |
|         4057 | Lidocaine Hydrochloride Monohydrate                                                                                                                                                                                                         |                       0 |               220 |
|        13655 | Perindopril Arginine                                                                                                                                                                                                                        |                       0 |               219 |
|        13096 | Aripiprazole                                                                                                                                                                                                                                |                       0 |               218 |
|        11976 | Clopidogrel                                                                                                                                                                                                                                 |                       0 |               218 |
|         2746 | Salmeterol                                                                                                                                                                                                                                  |                       0 |               216 |
|         9048 | Beclometasone Dipropionate                                                                                                                                                                                                                  |                       0 |               215 |
|         6575 | Ciprofloxacin                                                                                                                                                                                                                               |                       0 |               215 |
|         7125 | Azelastine Hydrochloride                                                                                                                                                                                                                    |                       0 |               213 |
|         1741 | Glutamic Acid                                                                                                                                                                                                                               |                       0 |               210 |
|         6866 | Guaifenesin                                                                                                                                                                                                                                 |                       0 |               209 |
|        10790 | Furosemide                                                                                                                                                                                                                                  |                       0 |               207 |
|         2457 | Donepezil Hydrochloride                                                                                                                                                                                                                     |                       0 |               206 |
|         8957 | Chlorhexidine Gluconate                                                                                                                                                                                                                     |                       0 |               205 |
|         4218 | Aspartic Acid                                                                                                                                                                                                                               |                       0 |               204 |
|         6061 | Mirtazapine                                                                                                                                                                                                                                 |                       0 |               203 |
|          129 | Dexamethasone                                                                                                                                                                                                                               |                       0 |               201 |
|        10946 | Macrogol 3350                                                                                                                                                                                                                               |                       0 |               201 |
|         4069 | Lercanidipine Hydrochloride                                                                                                                                                                                                                 |                       0 |               200 |
|        10867 | Memantine Hydrochloride                                                                                                                                                                                                                     |                       0 |               200 |
|         1329 | Codeine Phosphate Hemihydrate                                                                                                                                                                                                               |                       0 |               199 |
|         4493 | Levetiracetam                                                                                                                                                                                                                               |                       0 |               199 |
|        10656 | Salicylic Acid                                                                                                                                                                                                                              |                       0 |               199 |
|         9201 | Loratadine                                                                                                                                                                                                                                  |                       0 |               196 |
|         4260 | Olanzapine                                                                                                                                                                                                                                  |                       0 |               196 |
|         4355 | Folic Acid                                                                                                                                                                                                                                  |                       0 |               195 |
